ticket_id,customer_id,product_id,initial_employee_id,status
TCK_000001,CUST_03360,PROD_002,EMP_097,closed
TCK_000002,CUST_06760,PROD_004,EMP_019,open
TCK_000003,CUST_06926,PROD_010,EMP_082,closed
TCK_000004,CUST_03923,PROD_009,EMP_073,closed
TCK_000005,CUST_01018,PROD_013,EMP_012,closed
TCK_000006,CUST_02252,PROD_005,EMP_006,open
TCK_000007,CUST_07487,PROD_006,EMP_067,closed
TCK_000008,CUST_05068,PROD_012,EMP_080,closed
TCK_000009,CUST_00807,PROD_009,EMP_029,closed
TCK_000010,CUST_01653,PROD_013,EMP_096,closed
TCK_000011,CUST_05761,PROD_011,EMP_090,closed
TCK_000012,CUST_05382,PROD_009,EMP_014,closed
TCK_000013,CUST_03870,PROD_010,EMP_053,closed
TCK_000014,CUST_00325,PROD_006,EMP_044,closed
TCK_000015,CUST_07704,PROD_003,EMP_089,closed
TCK_000016,CUST_06649,PROD_006,EMP_014,open
TCK_000017,CUST_04821,PROD_002,EMP_070,closed
TCK_000018,CUST_02774,PROD_013,EMP_010,closed
TCK_000019,CUST_07948,PROD_001,EMP_069,closed
TCK_000020,CUST_05603,PROD_002,EMP_051,closed
TCK_000021,CUST_07535,PROD_009,EMP_099,closed
TCK_000022,CUST_06761,PROD_005,EMP_100,closed
TCK_000023,CUST_02196,PROD_007,EMP_075,closed
TCK_000024,CUST_02044,PROD_001,EMP_094,closed
TCK_000025,CUST_04686,PROD_005,EMP_079,closed
TCK_000026,CUST_00795,PROD_008,EMP_030,closed
TCK_000027,CUST_01522,PROD_013,EMP_071,closed
TCK_000028,CUST_07334,PROD_012,EMP_030,open
TCK_000029,CUST_04881,PROD_010,EMP_096,open
TCK_000030,CUST_06369,PROD_004,EMP_077,closed
TCK_000031,CUST_05530,PROD_007,EMP_039,closed
TCK_000032,CUST_05348,PROD_005,EMP_044,open
TCK_000033,CUST_04163,PROD_010,EMP_069,closed
TCK_000034,CUST_07762,PROD_009,EMP_036,open
TCK_000035,CUST_01264,PROD_008,EMP_042,closed
TCK_000036,CUST_04067,PROD_007,EMP_093,closed
TCK_000037,CUST_04211,PROD_008,EMP_087,open
TCK_000038,CUST_07071,PROD_009,EMP_016,closed
TCK_000039,CUST_07233,PROD_005,EMP_012,closed
TCK_000040,CUST_01215,PROD_003,EMP_083,open
